Round,Problem,Round Problem Description,Mapped Ethereum Problem (Level 2),Mapped Ethereum Problem (Level 1),Mapped Ethereum Problem (Level 2) Description,Mapped Ethereum Problem (Level 1) Description
Developer Tooling & Core Infrastructure,Underfunded Core Infrastructure,"Critical Ethereum clients, compilers, libraries, and shared infrastructure remain structurally underfunded despite securing and enabling applications worth billions. Maintainers face unstable resource availability and lack predictable support, forcing tradeoffs between commercial work and sustaining essential public goods.",Client Diversity & Maintenance,Core Infrastructure & Interoperability,"Ensuring multiple Ethereum client implementations (Prysm, Lighthouse, Geth, Nethermind, etc.) remain robust and in sync. This requires ongoing support for client teams and testing to prevent consensus splits.","Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
Developer Tooling & Core Infrastructure,Underfunded Core Infrastructure,"Critical Ethereum clients, compilers, libraries, and shared infrastructure remain structurally underfunded despite securing and enabling applications worth billions. Maintainers face unstable resource availability and lack predictable support, forcing tradeoffs between commercial work and sustaining essential public goods.",Client Diversity,"Decentralization, MEV & Censorship Resistance",Relying on a single majority client is dangerous where a critical bug could halt the network. Increasing usage of minority clients and funding client teams is necessary to strengthen the protocol’s resilience.,"Unchecked MEV and centralization can undermine Ethereum’s credibility and security. While MEV research (e.g. PBS, CRList) is active, solutions are nascent and ecosystem urgency is growing as MEV revenue and staking centralization climb."
Developer Tooling & Core Infrastructure,Fragmented Developer Experience,"Developers face complex, fragmented workflows across languages, frameworks, debugging tools, and testing environments. Tooling is inconsistent, lacks standardization, and often depends on volunteer-maintained components that evolve slowly or lack coordination.",Core Libraries and SDKs,Developer Experience & Tooling,"Many widely-used Ethereum libraries, frameworks, and languages (solidity compilers, testing frameworks, etc.) are maintained by small teams on shoestring budgets. Gaps or bugs in these core tools can lead to security issues or slow development for hundreds of projects.","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Developer Tooling & Core Infrastructure,Fragmented Developer Experience,"Developers face complex, fragmented workflows across languages, frameworks, debugging tools, and testing environments. Tooling is inconsistent, lacks standardization, and often depends on volunteer-maintained components that evolve slowly or lack coordination.",Smart Contract Development Tools,Developer Experience & Tooling,"High-quality IDEs, debuggers, formal verification tools, and security analysis software are needed to help developers write safe and efficient contracts. Without better tooling, developers may inadvertently deploy vulnerabilities or turn to more centralized tech to fill gaps","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Developer Tooling & Core Infrastructure,Security Gaps and Safety Risks,"Developers lack accessible, effective tools to prevent vulnerabilities, validate assumptions, and detect security issues early. Security-critical tooling is underfunded, leaving gaps in auditing, verification, fuzzing, and safe development practices.",Smart Contract Vulnerabilities,Security & Resilience,"Bugs in DeFi protocols and NFTs have led to frequent hacks. Many projects prioritized growth over security best practices, resulting in reentrancy, oracle manipulation, and logic flaws. There is a need for better auditing, formal verification tools, and secure-by-design frameworks to reduce contract bugs.","While top projects and the Ethereum Foundation invest in security, many vulnerabilities persist, and underfundedness is evident in areas like open-source auditing tools and formal verification (which receive less attention than flashy dApps). "
Developer Tooling & Core Infrastructure,Scalability and Protocol Evolution Gaps,"Ethereum’s scaling roadmap requires constant advancement in clients, languages, rollup tooling, data availability systems, statelessness, account abstraction, and protocol readiness. Many of these areas lack the necessary research-to-implementation tooling bridge.",Core Libraries and SDKs,Developer Experience & Tooling,"Many widely-used Ethereum libraries, frameworks, and languages (solidity compilers, testing frameworks, etc.) are maintained by small teams on shoestring budgets. Gaps or bugs in these core tools can lead to security issues or slow development for hundreds of projects.","This area is crucial for scalability (better dev tools lead to more efficient and secure dApps, which indirectly improves network performance) and for risk reduction (preventing hacks through improved tooling)."
Developer Tooling & Core Infrastructure,Ecosystem Data and Observability Gaps,"Developers lack accessible, reliable, open-source data analytics, indexing, observability tooling, and onchain insights. Existing data systems are fragmented or proprietary, limiting visibility into application behavior, network performance, and developer productivity.",Data Indexing & Analytics,Core Infrastructure & Interoperability,"Public goods like block explorers, analytics dashboards, and indexing protocols (The Graph, etc.) enable the community to query and understand blockchain data. Supporting open indexing infrastructure and common data standards ensures transparency and eases development (projects don’t each need to build their own indexers).","Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
Developer Tooling & Core Infrastructure,Sustainability and Talent Drain,"Critical maintainers lack stable resources and must balance public goods work with commercial activity. Many teams lack fundraising support or business development capabilities. This results in unstable roadmaps, burnout, and a persistent risk of maintainers abandoning essential public goods.",Sustainable Funding Mechanisms,Ecosystem Funding & Coordination,"How to continuously deploy funds to essential projects (clients, libraries, research) without relying on one-off grants or altruism. Challenges include designing funding streams (treasury inflows, protocol revenue allocation) and deciding when and how funds should flow for maximum impact.","Sustaining Ethereum’s long-term progress requires robust public goods funding (PGF) and governance mechanisms. The past few years have seen multiple experiments (Gitcoin QF rounds, DAO grants, Protocol Guild, Optimism RetroPGF, etc.), yet several core problems remain unsolved in funding Ethereum’s public goods."
"Interop Standards, Infrastructure & Analytics",Fragmented Multi-Chain Visibility,"Ethereum’s growth across L1, L2s, rollups, and app-specific chains has created silos of data, liquidity, and activity. Core ecosystem metrics and behaviors remain scattered, inconsistent, or locked behind proprietary interfaces. This fragmentation reduces the ability of builders, funders, and policymakers to assess ecosystem health reliably.",Data Indexing & Analytics,Core Infrastructure & Interoperability,"Public goods like block explorers, analytics dashboards, and indexing protocols (The Graph, etc.) enable the community to query and understand blockchain data. Supporting open indexing infrastructure and common data standards ensures transparency and eases development (projects don’t each need to build their own indexers).","Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
"Interop Standards, Infrastructure & Analytics",Fragmented Multi-Chain Visibility,"Ethereum’s growth across L1, L2s, rollups, and app-specific chains has created silos of data, liquidity, and activity. Core ecosystem metrics and behaviors remain scattered, inconsistent, or locked behind proprietary interfaces. This fragmentation reduces the ability of builders, funders, and policymakers to assess ecosystem health reliably.",Cross-Chain Interoperability,Core Infrastructure & Interoperability,"The Ethereum ecosystem now spans L1, many L2s, and sidechains. Standards for messaging and bridging (like ERC standards, CCIP, or trust-minimized bridges) are needed so that these networks can interoperate safely. Without common standards, we risk fragmentation and security holes between chains.","Beyond the protocol and developer tools, the ecosystem relies on a broad infrastructure layer that includes client software, networking, cross-chain coordination, and data access. This category covers the “plumbing” that many take for granted."
